"Event - historical H-ID"	"Event - historical Record Title"	"Name of event"	Description	"Start date"	"Start date (temporal)"	"End date"	"End date (temporal)"	Duration	"Place / Location (mappable) H-ID"	"Place Record Title"	"Place / Location (mappable) Record Title"	"Place H-ID"	"Place Record Title"	"Place Record Title"	"Location (mappable)"	"Thumbnail image"	"Thumbnail image ID"	"Thumbnail image Name"	"Thumbnail image Path"
60	"Utilisation de dariques et d'oboles attiques par les clérouques de Samos (334 BCE-328 BCE)"	"Utilisation de dariques et d'oboles attiques par les clérouques de Samos"		"334 BCE"	-000334	"328 BCE"	-000328		2	Samos	Samos								
61	"Tissapherne rachète des prisonniers de guerre à des Grecs (411 BCE)"	"Tissapherne rachète des prisonniers de guerre à des Grecs"	"Prisonniers de guerre suite au pillage de Iasos"	"411 BCE"	-000411				5	Iasos	Iasos								
62	"Pharnabaze donne un statère d'or à chaque exilés milésiens receuillis en Lydie (405 BCE)"	"Pharnabaze donne un statère d'or à chaque exilés milésiens receuillis en Lydie"		"405 BCE"	-000405				3	Milet	Milet								
63	"Anabase de mercenaires grecs (401 BCE-400 BCE)"	"Anabase de mercenaires grecs"		"401 BCE"	-000401	"400 BCE"	-000400												
64	"Spithridatès se lie à Agésilas (396 BCE)"	"Spithridatès se lie à Agésilas"	"Le satrape Spithridatès de lie à Agésilas avec 200 cavaliers dont il garde la tête"	"396 BCE"	-000396														
65	"Destruction de Iasos (405 BCE)"	"Destruction de Iasos"	"Destruction de Iasos par les Spartiates"	"405 BCE"	-000405				5	Iasos	Iasos								
66	"Retour des exilés de Iasos (394 BCE)"	"Retour des exilés de Iasos"	"Tissapherne prend la cité, Lysandre la prend et la détruit et les exilés reviennent"	"394 BCE"	-000394				5	Iasos	Iasos								
67	"Siège de Samos (440 BCE)"	"Siège de Samos"	"Destruction des murs"	"440 BCE"	-000440				2	Samos	Samos								
68	"Destruction des murs de Mytilène (427 BCE)"	"Destruction des murs de Mytilène"		"427 BCE"	-000427				12	Mytilène	Mytilène								
69	"Siège de Samos (367 BCE-366 BCE)"	"Siège de Samos"	"Siège de Samos par les Athéniens qui dure 10 mois"	"367 BCE"	-000367	"366 BCE"	-000366		2	Samos	Samos								
70	"Echec de Memnon devant Mytilène (333 BCE)"	"Echec de Memnon devant Mytilène"	"Memnon fut chassé d'Halicarnasse par Alexandre et échoua à prendre Mytilène"	"333 BCE"	-000333				12	Mytilène	Mytilène								
71	"Prise d'Halicarnasse par Alexandre (334 BCE)"	"Prise d'Halicarnasse par Alexandre"		"334 BCE"	-000334				20	Halicarnasse	Halicarnasse								
72	"Prise de Tyr par Alexandre (332 BCE)"	"Prise de Tyr par Alexandre"		"332 BCE"	-000332				21	Tyr	Tyr								
73	"Prise de Gaza par Alexandre (332 BCE)"	"Prise de Gaza par Alexandre"		"332 BCE"	-000332				22	Gaza	Gaza								
74	"Echec de la prise d'Ephèse par les Athéniens (410 BCE)"	"Echec de la prise d'Ephèse par les Athéniens"		"410 BCE"	-000410				17	Ephèse	Ephèse								
75	"Construction du Teichos de Téos (412 BCE-411 BCE)"	"Construction du Teichos de Téos"	Fortifications	"412 BCE"	-000412	"411 BCE"	-000411		25	Téos	Téos								
76	"Construction d'un diateichisma à Notion (427 BCE)"	"Construction d'un diateichisma à Notion"	"Construction d'un mur qui sépare la zone défendable de Notion de la ville"	"427 BCE"	-000427				26	Notion	Notion								
77	"Construction d'un phourion à Milet (411 BCE)"	"Construction d'un phourion à Milet"	"Tissapherne fait construire une structure défensive à Milet"	"411 BCE"	-000411				3	Milet	Milet								
