"Place H-ID"	"Place Record Title"	"Place name"	"Location (mappable)"	"Short description"
2	Samos	Samos	"POINT(26.8339562 37.7503109)"	Insulaires
3	Milet	Milet	"POINT(27.2798246 37.5318313)"	Insulaires
4	Athènes	Athènes	"POINT(23.7173567 37.9666354)"	"Cités de Grèce continentale"
5	Iasos	Iasos	"POINT(27.5862168 37.2780973)"	"Cités grecques d'Asie Mineure"
6	Delphes	Delphes	"POINT(22.5013175 38.4827325)"	"Cités de Grèce continentale"
7	Sestos	Sestos	"POINT(26.3893184 40.2134284)"	"Cités stratégiques autres"
8	"Magnésie du Méandre"	"Magnésie du Méandre"	"POINT(27.5225807 37.8493075)"	"Cités grecques d'Asie Mineure"
9	Lampsaque	Lampsaque	"POINT(26.6836182 40.3438841)"	"Cités grecques d'Asie Mineure"
10	Rhodes	Rhodes	"POINT(28.0014684 36.1687877)"	Insulaires
11	Chios	Chios	"POINT(26.0201394 38.4020855)"	Insulaires
12	Mytilène	Mytilène	"POINT(26.5501689 39.0999392)"	Insulaires
13	Clazomènes	Clazomènes	"POINT(26.7678498 38.358374)"	"Cités grecques d'Asie Mineure"
14	Kos	Kos	"POINT(27.2327595 36.8516342)"	Insulaires
15	Cyzique	Cyzique	"POINT(27.8886947 40.3810735)"	"Cités grecques d'Asie Mineure"
16	Erythrée	Erythrée	"POINT(26.4807497 38.3827794)"	"Cités grecques d'Asie Mineure"
17	Ephèse	Ephèse	"POINT(27.3393194 37.9404456)"	"Cités grecques d'Asie Mineure"
18	Chalcédoine	Chalcédoine	"POINT(29.0334834 40.983492)"	"Cités grecques d'Asie Mineure"
19	Byzance	Byzance	"POINT(28.9839166 41.0127152)"	"Cités stratégiques autres"
20	Halicarnasse	Halicarnasse	"POINT(27.4245005 37.0381194)"	"Cités grecques d'Asie Mineure"
21	Tyr	Tyr	"POINT(35.2167184 33.2687922)"	"Cités périphériques"
22	Gaza	Gaza	"POINT(34.4501989 31.5167475)"	"Cités périphériques"
23	Alabanda	Alabanda	"POINT(27.8345151 37.5927372)"	"Cités grecques d'Asie Mineure"
24	Alinda	Alinda	"POINT(27.8267713 37.5592315)"	"Cités grecques d'Asie Mineure"
