"Place H-ID"	"Place Record Title"	"Place name"	"Place type"	Country	"Location (mappable)"	"Locational certainty"	"Short description"	"Type of structure"	"Place role"
2	Samos	Samos	Administrative	Turkey	"POINT(26.8339562 37.7503109)"	"1. High confidence"	"Cité importante d'Asie Mineure sur une île"	"Government / royal"	Government
3	Milet	Milet	Administrative	Turkey	"POINT(27.2798246 37.5318313)"	"1. High confidence"	"Cité importante de Ionie"	"Government / royal"	Government
4	Athènes	Athènes	Administrative	Greece	"POINT(23.7173567 37.9666354)"	"1. High confidence"	"Cité d'Athènes en Attique"	"Government / royal"	Government
5	Iasos	Iasos	Administrative	Turkey	"POINT(27.5862168 37.2780973)"	"1. High confidence"	"Cité de Iasos en Carie"	"Government / royal"	Government
6	Delphes	Delphes	Administrative	Greece	"POINT(22.5013175 38.4827325)"	"1. High confidence"	"Cité de Delphes en Phocide"	Religious	Community
7	Sestos	Sestos	Administrative	Turkey	"POINT(26.3893184 40.2134284)"	"1. High confidence"	"Cité de Chersonèse de Thrace hautement stratégique sur le détroit de l'Hellespont"	"Government / royal"	Government
8	"Magnésie du Méandre"	"Magnésie du Méandre"	Administrative	Turkey	"POINT(27.5225807 37.8493075)"	"1. High confidence"	"Cité de Ionie"	"Government / royal"	Government
9	Lampsaque	Lampsaque	Administrative	Turkey	"POINT(26.6836182 40.3438841)"	"1. High confidence"	"Cité de Troade hautement stratégique pour le passage dans le Pont-Euxin"	"Government / royal"	Government
10	Rhodes	Rhodes	Administrative	Greece	"POINT(28.0014684 36.1687877)"	"1. High confidence"	"Cité de Rhodes dans l'archipel de Dodécanèse"	"Government / royal"	Government
11	Chios	Chios	Administrative	Greece	"POINT(26.0201394 38.4020855)"	"1. High confidence"	"Cité grecque de Sproade orientale"	"Government / royal"	Government
12	Mytilène	Mytilène	Administrative	Greece	"POINT(26.5501689 39.0999392)"	"1. High confidence"	"Cité de l'île de Lesbos"	"Government / royal"	Government
13	Clazomènes	Clazomènes	Administrative	Turkey	"POINT(26.7678498 38.358374)"	"1. High confidence"	"Cité grecque de Ionie"	"Government / royal"	Government
14	Kos	Kos	Administrative	Greece	"POINT(27.2327595 36.8516342)"	"1. High confidence"	"Cité de l'archipel de Dodécanèse"	"Government / royal"	Government
15	Cyzique	Cyzique	Administrative	Turkey	"POINT(27.8886947 40.3810735)"	"2. Probable location"	"Cité grecque en Mysie"	"Government / royal"	Government
16	Erythrée	Erythrée	Administrative	Turkey	"POINT(26.4807497 38.3827794)"	"1. High confidence"	"Cité grecque antique de Ionie"	"Government / royal"	Government
17	Ephèse	Ephèse	Administrative	Turkey	"POINT(27.3393194 37.9404456)"	"1. High confidence"	"Cité grecque de Ionie"	"Government / royal"	Government
18	Chalcédoine	Chalcédoine	Administrative	Turkey	"POINT(29.0334834 40.983492)"	"1. High confidence"	"Cité grecque de Bithynie"	"Government / royal"	Government
19	Byzance	Byzance	Administrative	Turkey	"POINT(28.9839166 41.0127152)"	"1. High confidence"	"Cité grecque de Thrace"	"Government / royal"	Government
